steer_gain,throttle_base,throttle_gain,brake_dist,throttle_min,mean_reward,std_reward,mean_checkpoints,collision_rate,mean_speed
0.8,0.1,0.4,0.3,0.0,-24.726619720458984,0.0,2.0,1.0,35.116188049316406
0.8,0.1,0.4,0.3,0.05,-24.726619720458984,0.0,2.0,1.0,35.116188049316406
0.8,0.1,0.4,0.3,0.1,-24.74226951599121,0.00022284494480118155,2.0,1.0,35.210086822509766
0.8,0.1,0.4,0.4,0.0,-26.389291763305664,7.576280768262222e-05,2.0,1.0,30.935474395751953
0.8,0.1,0.4,0.4,0.05,-26.389291763305664,7.576280768262222e-05,2.0,1.0,30.935474395751953
0.8,0.1,0.4,0.4,0.1,-25.90860939025879,0.00030599720776081085,2.0,1.0,32.103126525878906
0.8,0.1,0.4,0.5,0.0,-28.716716766357422,1.9073486328125e-06,2.0,1.0,26.294574737548828
0.8,0.1,0.4,0.5,0.05,-28.721736907958984,0.0,2.0,1.0,26.315454483032227
0.8,0.1,0.4,0.5,0.1,-27.15072250366211,0.0,2.0,1.0,29.10641860961914
0.8,0.1,0.6,0.3,0.0,-22.040740966796875,0.0,2.0,1.0,45.96125411987305
0.8,0.1,0.6,0.3,0.05,-22.040740966796875,0.0,2.0,1.0,45.96125411987305
0.8,0.1,0.6,0.3,0.1,-22.041748046875,0.0,2.0,1.0,45.9681510925293
0.8,0.1,0.6,0.4,0.0,-23.120222091674805,0.00019046955276280642,2.0,1.0,41.477256774902344
0.8,0.1,0.6,0.4,0.05,-23.120222091674805,0.00019046955276280642,2.0,1.0,41.477256774902344
0.8,0.1,0.6,0.4,0.1,-23.026803970336914,0.0002793546300381422,2.0,1.0,41.8803596496582
0.8,0.1,0.6,0.5,0.0,-24.639202117919922,0.0,2.0,1.0,35.911319732666016
0.8,0.1,0.6,0.5,0.05,-24.639202117919922,0.0,2.0,1.0,35.911319732666016
0.8,0.1,0.6,0.5,0.1,-24.155677795410156,0.0,2.0,1.0,37.411407470703125
0.8,0.1,0.8,0.3,0.0,-20.448211669921875,0.0008705637301318347,2.0,1.0,56.34775924682617
0.8,0.1,0.8,0.3,0.05,-20.448211669921875,0.0008705637301318347,2.0,1.0,56.34775924682617
0.8,0.1,0.8,0.3,0.1,-20.448213577270508,0.0008705641375854611,2.0,1.0,56.3477897644043
0.8,0.1,0.8,0.4,0.0,-20.990074157714844,0.0,2.0,1.0,52.22748947143555
0.8,0.1,0.8,0.4,0.05,-20.990074157714844,0.0,2.0,1.0,52.22748947143555
0.8,0.1,0.8,0.4,0.1,-20.995853424072266,0.0,2.0,1.0,52.271751403808594
0.8,0.1,0.8,0.5,0.0,-22.147302627563477,6.151014531496912e-06,2.0,1.0,45.95371627807617
0.8,0.1,0.8,0.5,0.05,-22.147302627563477,6.151014531496912e-06,2.0,1.0,45.95371627807617
0.8,0.1,0.8,0.5,0.1,-22.06366539001465,0.00010499430209165439,2.0,1.0,46.520606994628906
0.8,0.2,0.4,0.3,0.0,-21.700830459594727,0.0013263965956866741,2.0,1.0,48.23857498168945
